experiment,model,interface,condition,contrast,effect_pp,bootstrap_ci_pp,raw_signflip_p,cluster_count,task_count,neutral_correct,procedural_correct,base_correct,loo_range_pp,holm_p
large_repository_matched_prompts,Gemma3,PARALLEL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,-33.425925925925924,"[-33.611111111111114,-33.33333333333333]",9.99990000099999e-06,180,360,1080,719,360,"[-33.42644320297951,-33.33333333333333]",0.00011999880001199988
large_repository_matched_prompts,Gemma3,PARALLEL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,-33.33333333333333,"[-33.33333333333333,-33.33333333333333]",9.99990000099999e-06,180,360,1080,720,360,"[-33.33333333333333,-33.33333333333333]",0.00011999880001199988
large_repository_matched_prompts,Gemma3,SERIAL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,-35.74074074074075,"[-36.666666666666664,-34.90740740740741]",9.99990000099999e-06,180,360,1080,694,360,"[-35.754189944134076,-35.66108007448789]",0.00011999880001199988
large_repository_matched_prompts,Gemma3,SERIAL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,-35.46296296296296,"[-36.66666666666668,-34.25925925925925]",9.99990000099999e-06,180,360,1065,682,358,"[-35.66108007448789,-35.28864059590317]",0.00011999880001199988
large_repository_matched_prompts,InternLM2.5,PARALLEL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,-24.629629629629626,"[-26.203703703703702,-23.055555555555557]",9.99990000099999e-06,180,360,1060,794,354,"[-24.767225325884542,-24.487895716945996]",0.00011999880001199988
large_repository_matched_prompts,InternLM2.5,PARALLEL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,-23.425925925925924,"[-24.72222222222222,-22.129629629629626]",9.99990000099999e-06,180,360,1071,818,356,"[-23.556797020484172,-23.277467411545626]",0.00011999880001199988
large_repository_matched_prompts,InternLM2.5,SERIAL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,-10.74074074074074,"[-12.314814814814813,-9.166666666666666]",9.99990000099999e-06,180,360,1069,953,359,"[-10.893854748603351,-10.614525139664805]",0.00011999880001199988
large_repository_matched_prompts,InternLM2.5,SERIAL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,-12.592592592592592,"[-14.166666666666666,-11.018518518518517]",9.99990000099999e-06,180,360,1075,939,356,"[-12.66294227188082,-12.383612662942271]",0.00011999880001199988
large_repository_matched_prompts,Qwen3,PARALLEL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,0.0,"[0.0,0.0]",1.0,180,360,1080,1080,360,"[0.0,0.0]",1.0
large_repository_matched_prompts,Qwen3,PARALLEL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,0.0,"[0.0,0.0]",1.0,180,360,1080,1080,360,"[0.0,0.0]",1.0
large_repository_matched_prompts,Qwen3,SERIAL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,-5.740740740740741,"[-7.037037037037036,-4.537037037037036]",9.99990000099999e-06,180,360,1080,1018,360,"[-5.772811918063315,-5.58659217877095]",0.00011999880001199988
large_repository_matched_prompts,Qwen3,SERIAL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,-5.648148148148149,"[-6.944444444444444,-4.444444444444445]",9.99990000099999e-06,180,360,1079,1018,360,"[-5.772811918063315,-5.493482309124767]",0.00011999880001199988
