experiment,model,interface,condition,contrast,n,a_successes,b_successes,a_only,b_only,effect_pp,exact_p,bootstrap_ci_pp,loo_range_pp,holm_p,task_count,repository_count,prompt_pair_effects_pp,recomputed_cluster_signflip_p,recomputed_cluster_signflip_exceedances,holm_p_basis,reported_mc_p,reported_mc_exceedances
same_run_prompt_comparison,Gemma3,SERIAL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,48,43,48,0,5,-10.416666666666666,0.0625,"[-18.75,-2.083333333333333]","[-10.869565217391305,-8.695652173913043]",0.4375,,,,,,,,
same_run_prompt_comparison,Gemma3,SERIAL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,48,32,29,8,5,6.25,0.5810546875,"[-4.166666666666666,18.75]","[2.1739130434782608,8.695652173913043]",1.0,,,,,,,,
same_run_prompt_comparison,Gemma3,PARALLEL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",1.0,,,,,,,,
same_run_prompt_comparison,Gemma3,PARALLEL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,48,32,37,2,7,-10.416666666666666,0.1796875,"[-20.833333333333336,0.0]","[-13.043478260869565,-8.695652173913043]",0.8984375,,,,,,,,
same_run_prompt_comparison,Qwen3,SERIAL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",1.0,,,,,,,,
same_run_prompt_comparison,Qwen3,SERIAL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,48,36,43,0,7,-14.583333333333334,0.015625,"[-25.0,-6.25]","[-15.217391304347826,-13.043478260869565]",0.125,,,,,,,,
same_run_prompt_comparison,Qwen3,PARALLEL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,48,47,47,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",1.0,,,,,,,,
same_run_prompt_comparison,Qwen3,PARALLEL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,48,34,39,1,6,-10.416666666666666,0.125,"[-20.833333333333336,0.0]","[-13.043478260869565,-8.695652173913043]",0.75,,,,,,,,
six_pair_prompt_library,Gemma3,SERIAL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,288,277,288,0,11,-3.8194444444444446,,"[-7.986111111111112,-0.3472222222222222]","[-3.985507246376811,-2.5362318840579707]",0.6233437665623344,48,24,"{""L1"":-4.166666666666667,""L2"":-2.0833333333333335,""M1"":-8.333333333333334,""M3"":-4.166666666666667,""S1"":0.0,""S2"":-4.166666666666667}",0.12466875331246688,12466,seeded_recomputation,,
six_pair_prompt_library,Gemma3,SERIAL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,288,203,183,33,13,6.944444444444445,,"[0.6944444444444444,14.23611111111111]","[4.347826086956523,8.695652173913043]",0.4338556614433856,48,24,"{""L1"":14.583333333333334,""L2"":14.583333333333334,""M1"":-6.25,""M3"":16.666666666666668,""S1"":-4.166666666666667,""S2"":6.25}",0.06197938020619794,6197,seeded_recomputation,,
six_pair_prompt_library,Gemma3,PARALLEL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,288,288,288,0,0,0.0,,"[0.0,0.0]","[0.0,0.0]",1.0,48,24,"{""L1"":0.0,""L2"":0.0,""M1"":0.0,""M3"":0.0,""S1"":0.0,""S2"":0.0}",1.0,100000,seeded_recomputation,,
six_pair_prompt_library,Gemma3,PARALLEL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,288,226,231,13,18,-1.7361111111111112,,"[-5.902777777777777,2.4305555555555554]","[-2.5362318840579707,-0.7246376811594203]",1.0,48,24,"{""L1"":14.583333333333334,""L2"":4.166666666666667,""M1"":-8.333333333333334,""M3"":-2.0833333333333335,""S1"":-14.583333333333334,""S2"":-4.166666666666667}",0.5200547994520055,52005,seeded_recomputation,,
six_pair_prompt_library,Qwen3,SERIAL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,288,288,288,0,0,0.0,,"[0.0,0.0]","[0.0,0.0]",1.0,48,24,"{""L1"":0.0,""L2"":0.0,""M1"":0.0,""M3"":0.0,""S1"":0.0,""S2"":0.0}",1.0,100000,seeded_recomputation,,
six_pair_prompt_library,Qwen3,SERIAL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,288,223,256,4,37,-11.458333333333334,,"[-16.319444444444446,-6.944444444444444]","[-11.956521739130432,-10.507246376811592]",0.00047999520004799953,48,24,"{""L1"":2.0833333333333335,""L2"":-25.0,""M1"":-18.75,""M3"":-20.833333333333332,""S1"":-10.416666666666666,""S2"":4.166666666666667}",5.999940000599994e-05,5,seeded_recomputation,6.999930000699993e-05,6
six_pair_prompt_library,Qwen3,PARALLEL,CLEAN,PROCEDURAL_MINUS_NEUTRAL,288,286,283,3,0,1.0416666666666667,,"[0.0,3.125]","[0.0,1.0869565217391304]",1.0,48,24,"{""L1"":2.0833333333333335,""L2"":2.0833333333333335,""M1"":2.0833333333333335,""M3"":0.0,""S1"":0.0,""S2"":0.0}",1.0,100000,seeded_recomputation,,
six_pair_prompt_library,Qwen3,PARALLEL,DISRUPT,PROCEDURAL_MINUS_NEUTRAL,288,203,216,10,23,-4.513888888888889,,"[-9.027777777777777,0.3472222222222219]","[-5.797101449275361,-3.623188405797102]",0.6014939850601494,48,24,"{""L1"":8.333333333333334,""L2"":-10.416666666666666,""M1"":0.0,""M3"":-10.416666666666666,""S1"":-14.583333333333334,""S2"":0.0}",0.1002489975100249,10024,seeded_recomputation,,
