experiment,contrast,n,a_successes,b_successes,a_only,b_only,effect_pp,exact_p,bootstrap_ci_pp,loo_range_pp,panel,model,interface,condition,holm_p
model_interface_comparisons,PLACEBO_MINUS_BASE,48,32,28,6,2,8.333333333333334,0.2890625,"[-2.0833333333333335,18.75]","[6.521739130434782,10.869565217391305]",Set 1,Llama-Hermes,SERIAL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 2,Gemma3,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,14,26,1,13,-25.0,0.0018310546875,"[-37.5,-14.583333333333334]","[-26.08695652173913,-21.73913043478261]",Set 2,Gemma3,PARALLEL,DISRUPT,0.0054931640625
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 2,Gemma3,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,11,31,0,20,-41.666666666666664,1.9073486328125e-06,"[-56.25,-27.083333333333332]","[-43.47826086956522,-39.130434782608695]",Set 2,Gemma3,SERIAL,DISRUPT,7.62939453125e-06
model_interface_comparisons,PLACEBO_MINUS_BASE,48,44,46,0,2,-4.166666666666667,0.5,"[-10.416666666666666,0.0]","[-4.3478260869565215,-2.1739130434782608]",Set 2,InternLM2.5,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,25,19,8,2,12.5,0.109375,"[2.0833333333333335,22.916666666666668]","[10.869565217391305,15.217391304347826]",Set 2,InternLM2.5,PARALLEL,DISRUPT,0.875
model_interface_comparisons,PLACEBO_MINUS_BASE,48,45,47,0,2,-4.166666666666667,0.5,"[-10.416666666666666,0.0]","[-4.3478260869565215,-2.1739130434782608]",Set 2,InternLM2.5,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,29,23,11,5,12.5,0.210113525390625,"[0.0,25.0]","[10.869565217391305,15.217391304347826]",Set 2,InternLM2.5,SERIAL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,47,48,0,1,-2.0833333333333335,1.0,"[-6.25,0.0]","[-2.1739130434782608,0.0]",Set 2,Qwen3,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,22,20,6,4,4.166666666666667,0.75390625,"[-6.25,16.666666666666668]","[0.0,6.521739130434782]",Set 2,Qwen3,PARALLEL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 2,Qwen3,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,6,18,2,14,-25.0,0.004180908203125,"[-35.416666666666664,-12.5]","[-28.26086956521739,-23.91304347826087]",Set 2,Qwen3,SERIAL,DISRUPT,0.0167236328125
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 2,Yi-1.5,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,12,18,2,8,-12.5,0.109375,"[-25.0,0.0]","[-15.217391304347826,-10.869565217391305]",Set 2,Yi-1.5,PARALLEL,DISRUPT,0.875
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 2,Yi-1.5,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,3,3,2,2,0.0,1.0,"[-8.333333333333334,10.416666666666666]","[-4.3478260869565215,2.1739130434782608]",Set 2,Yi-1.5,SERIAL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,47,48,0,1,-2.0833333333333335,1.0,"[-6.25,0.0]","[-2.1739130434782608,0.0]",Set 3,Gemma3,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,29,45,1,17,-33.333333333333336,0.00014495849609375,"[-43.75,-22.916666666666668]","[-34.78260869565217,-30.434782608695652]",Set 3,Gemma3,PARALLEL,DISRUPT,0.001739501953125
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 3,Gemma3,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,43,44,2,3,-2.0833333333333335,1.0,"[-8.333333333333334,4.166666666666667]","[-4.3478260869565215,0.0]",Set 3,Gemma3,SERIAL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 3,InternLM2.5,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,36,41,2,7,-10.416666666666666,0.1796875,"[-22.916666666666668,0.0]","[-13.043478260869565,-8.695652173913043]",Set 3,InternLM2.5,PARALLEL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,47,47,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 3,InternLM2.5,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,43,44,2,3,-2.0833333333333335,1.0,"[-10.416666666666666,6.25]","[-4.3478260869565215,0.0]",Set 3,InternLM2.5,SERIAL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 3,Qwen3,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,40,43,1,4,-6.25,0.375,"[-14.583333333333334,2.0833333333333335]","[-8.695652173913043,-4.3478260869565215]",Set 3,Qwen3,PARALLEL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 3,Qwen3,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,46,47,1,2,-2.0833333333333335,1.0,"[-8.333333333333334,4.166666666666667]","[-4.3478260869565215,0.0]",Set 3,Qwen3,SERIAL,DISRUPT,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,23,24,0,1,-4.166666666666667,1.0,"[-12.5,0.0]","[-4.3478260869565215,0.0]",,Gemma3,PARALLEL,CLEAN,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,14,17,1,4,-12.5,0.375,"[-29.166666666666668,4.166666666666667]","[-17.391304347826086,-8.695652173913043]",,Gemma3,PARALLEL,DISRUPT,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,24,24,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",,Gemma3,SERIAL,CLEAN,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,18,18,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",,Gemma3,SERIAL,DISRUPT,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,24,24,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",,InternLM2.5,PARALLEL,CLEAN,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,19,19,1,1,0.0,1.0,"[-12.5,12.5]","[-4.3478260869565215,4.3478260869565215]",,InternLM2.5,PARALLEL,DISRUPT,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,24,24,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",,InternLM2.5,SERIAL,CLEAN,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,21,20,1,0,4.166666666666667,1.0,"[0.0,12.5]","[0.0,4.3478260869565215]",,InternLM2.5,SERIAL,DISRUPT,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,21,22,0,1,-4.166666666666667,1.0,"[-12.5,0.0]","[-4.3478260869565215,0.0]",,Qwen3,PARALLEL,CLEAN,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,21,22,0,1,-4.166666666666667,1.0,"[-12.5,0.0]","[-4.3478260869565215,0.0]",,Qwen3,PARALLEL,DISRUPT,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,23,24,0,1,-4.166666666666667,1.0,"[-12.5,0.0]","[-4.3478260869565215,0.0]",,Qwen3,SERIAL,CLEAN,1.0
file_format_boundary,PLACEBO_MINUS_BASE,24,21,24,0,3,-12.5,0.25,"[-29.166666666666668,0.0]","[-13.043478260869565,-8.695652173913043]",,Qwen3,SERIAL,DISRUPT,1.0
strict_json_boundary,PLACEBO_MINUS_BASE,48,0,45,0,45,-93.75,5.684341886080802e-14,"[-100.0,-87.5]","[-95.65217391304348,-93.47826086956522]",,InternLM2.5,SERIAL,CLEAN,2.2737367544323206e-13
strict_json_boundary,PLACEBO_MINUS_BASE,48,0,38,0,38,-79.16666666666667,7.275957614183426e-12,"[-89.58333333333333,-66.66666666666667]","[-82.6086956521739,-78.26086956521739]",,InternLM2.5,SERIAL,DISRUPT,2.1827872842550278e-11
strict_json_boundary,PLACEBO_MINUS_BASE,48,48,48,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",,Qwen3,SERIAL,CLEAN,1.0
strict_json_boundary,PLACEBO_MINUS_BASE,48,46,47,1,2,-2.0833333333333335,1.0,"[-8.333333333333334,4.166666666666667]","[-4.3478260869565215,0.0]",,Qwen3,SERIAL,DISRUPT,1.0
source_information_intervention,CORRECT_SOURCE_ID_MINUS_BASE,48,32,24,12,4,16.666666666666668,0.076812744140625,,,,Ministral,SINGLE_ACTION_JSON,CLEAN,
source_information_intervention,LOCALIZATION_PLACEBO_MINUS_BASE,48,4,24,0,20,-41.666666666666664,1.9073486328125e-06,,,,Ministral,SINGLE_ACTION_JSON,CLEAN,
source_information_intervention,REPLAY_MINUS_BASE,48,34,24,12,2,20.833333333333332,0.012939453125,,,,Ministral,SINGLE_ACTION_JSON,CLEAN,
source_information_intervention,WRONG_SOURCE_ID_MINUS_BASE,48,1,24,0,23,-47.916666666666664,2.384185791015625e-07,,,,Ministral,SINGLE_ACTION_JSON,CLEAN,
source_information_intervention,CORRECT_SOURCE_ID_MINUS_BASE,48,31,17,18,4,29.166666666666668,0.004343509674072266,,,,Ministral,SINGLE_ACTION_JSON,DISRUPT,
source_information_intervention,LOCALIZATION_PLACEBO_MINUS_BASE,48,4,17,0,13,-27.083333333333332,0.000244140625,,,,Ministral,SINGLE_ACTION_JSON,DISRUPT,
source_information_intervention,REPLAY_MINUS_BASE,48,34,17,19,2,35.416666666666664,0.00022125244140625,,,,Ministral,SINGLE_ACTION_JSON,DISRUPT,
source_information_intervention,WRONG_SOURCE_ID_MINUS_BASE,48,1,17,1,17,-33.333333333333336,0.00014495849609375,,,,Ministral,SINGLE_ACTION_JSON,DISRUPT,
source_information_intervention,CORRECT_SOURCE_ID_MINUS_BASE,48,37,34,5,2,6.25,0.453125,,,,Qwen3,NATIVE_TOOL_CALL,CLEAN,
source_information_intervention,LOCALIZATION_PLACEBO_MINUS_BASE,48,35,34,1,0,2.0833333333333335,1.0,,,,Qwen3,NATIVE_TOOL_CALL,CLEAN,
source_information_intervention,REPLAY_MINUS_BASE,48,34,34,1,1,0.0,1.0,,,,Qwen3,NATIVE_TOOL_CALL,CLEAN,
source_information_intervention,WRONG_SOURCE_ID_MINUS_BASE,48,0,34,0,34,-70.83333333333333,1.1641532182693481e-10,,,,Qwen3,NATIVE_TOOL_CALL,CLEAN,
source_information_intervention,CORRECT_SOURCE_ID_MINUS_BASE,48,37,32,6,1,10.416666666666666,0.125,,,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,
source_information_intervention,LOCALIZATION_PLACEBO_MINUS_BASE,48,33,32,1,0,2.0833333333333335,1.0,,,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,
source_information_intervention,REPLAY_MINUS_BASE,48,35,32,3,0,6.25,0.25,,,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,
source_information_intervention,WRONG_SOURCE_ID_MINUS_BASE,48,0,32,0,32,-66.66666666666667,4.656612873077393e-10,,,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,
required_source_intervention,BASE_MINUS_CONTROL,24,13,4,9,0,37.5,0.00390625,,,,Gemma3,PARALLEL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,15,10,6,1,20.833333333333332,0.125,,,,Gemma3,PARALLEL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,24,24,0,0,0.0,1.0,,,,Gemma3,PARALLEL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,17,5,14,2,50.0,0.004180908203125,,,,Gemma3,PARALLEL,SHAM_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,12,9,4,1,12.5,0.375,,,,Gemma3,SERIAL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,20,15,6,1,20.833333333333332,0.125,,,,Gemma3,SERIAL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,24,24,0,0,0.0,1.0,,,,Gemma3,SERIAL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,15,11,5,1,16.666666666666668,0.21875,,,,Gemma3,SERIAL,SHAM_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,17,17,3,3,0.0,1.0,,,,InternLM2.5,PARALLEL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,24,24,0,0,0.0,1.0,,,,InternLM2.5,PARALLEL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,24,24,0,0,0.0,1.0,,,,InternLM2.5,PARALLEL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,15,20,2,7,-20.833333333333332,0.1796875,,,,InternLM2.5,PARALLEL,SHAM_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,16,16,1,1,0.0,1.0,,,,InternLM2.5,SERIAL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,22,21,2,1,4.166666666666667,1.0,,,,InternLM2.5,SERIAL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,19,20,1,2,-4.166666666666667,1.0,,,,InternLM2.5,SERIAL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,13,17,0,4,-16.666666666666668,0.125,,,,InternLM2.5,SERIAL,SHAM_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,18,17,2,1,4.166666666666667,1.0,,,,Qwen3,PARALLEL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,23,20,3,0,12.5,0.25,,,,Qwen3,PARALLEL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,24,24,0,0,0.0,1.0,,,,Qwen3,PARALLEL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,19,21,0,2,-8.333333333333334,0.5,,,,Qwen3,PARALLEL,SHAM_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,4,8,0,4,-16.666666666666668,0.125,,,,Qwen3,SERIAL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,7,5,2,0,8.333333333333334,0.5,,,,Qwen3,SERIAL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,24,24,0,0,0.0,1.0,,,,Qwen3,SERIAL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,16,10,9,3,25.0,0.14599609375,,,,Qwen3,SERIAL,SHAM_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,21,16,6,1,20.833333333333332,0.125,,,,Yi-1.5,PARALLEL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,20,19,2,1,4.166666666666667,1.0,,,,Yi-1.5,PARALLEL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,23,22,2,1,4.166666666666667,1.0,,,,Yi-1.5,PARALLEL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,22,21,1,0,4.166666666666667,1.0,,,,Yi-1.5,PARALLEL,SHAM_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,15,14,5,4,4.166666666666667,1.0,,,,Yi-1.5,SERIAL,NATURAL,
required_source_intervention,BASE_MINUS_CONTROL,24,18,20,3,5,-8.333333333333334,0.7265625,,,,Yi-1.5,SERIAL,RECOVERY_BLOCKED_ALT,
required_source_intervention,BASE_MINUS_CONTROL,24,22,18,5,1,16.666666666666668,0.21875,,,,Yi-1.5,SERIAL,RECOVERY_PRELOAD,
required_source_intervention,BASE_MINUS_CONTROL,24,17,21,2,6,-16.666666666666668,0.2890625,,,,Yi-1.5,SERIAL,SHAM_PRELOAD,
