experiment,contrast,n,a_successes,b_successes,a_only,b_only,effect_pp,exact_p,bootstrap_ci_pp,loo_range_pp,panel,model,interface,condition,holm_p
authentic_repository_evaluation,CLEAN_MINUS_DISRUPT,32,27,14,13,0,40.625,0.000244140625,"[25.0,56.25]","[35.714285714285715,46.42857142857143]",,,,,
model_interface_comparisons,PLACEBO_MINUS_BASE,48,1,3,1,3,-4.166666666666667,0.625,"[-12.5,4.166666666666667]","[-6.521739130434782,-2.1739130434782608]",Set 1,Falcon3,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,0,0,0,0,0.0,1.0,"[0.0,0.0]","[0.0,0.0]",Set 1,Falcon3,PARALLEL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,5,11,1,7,-12.5,0.0703125,"[-25.0,-2.0833333333333335]","[-15.217391304347826,-8.695652173913043]",Set 1,Falcon3,SERIAL,CLEAN,0.703125
model_interface_comparisons,PLACEBO_MINUS_BASE,48,1,2,0,1,-2.0833333333333335,1.0,"[-6.25,0.0]","[-2.1739130434782608,0.0]",Set 1,Falcon3,SERIAL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,43,46,1,4,-6.25,0.375,"[-14.583333333333334,2.0833333333333335]","[-8.695652173913043,-4.3478260869565215]",Set 1,Granite,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,39,44,1,6,-10.416666666666666,0.125,"[-20.833333333333332,0.0]","[-13.043478260869565,-8.695652173913043]",Set 1,Granite,PARALLEL,DISRUPT,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,35,28,11,4,14.583333333333334,0.11846923828125,"[2.0833333333333335,27.083333333333332]","[13.043478260869565,17.391304347826086]",Set 1,Granite,SERIAL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,29,12,19,2,35.416666666666664,0.00022125244140625,"[20.833333333333332,52.083333333333336]","[32.608695652173914,39.130434782608695]",Set 1,Granite,SERIAL,DISRUPT,0.002655029296875
model_interface_comparisons,PLACEBO_MINUS_BASE,48,46,46,2,2,0.0,1.0,"[-8.333333333333334,8.333333333333334]","[-2.1739130434782608,2.1739130434782608]",Set 1,Llama-Hermes,PARALLEL,CLEAN,1.0
model_interface_comparisons,PLACEBO_MINUS_BASE,48,28,21,7,0,14.583333333333334,0.015625,"[6.25,22.916666666666668]","[13.043478260869565,15.217391304347826]",Set 1,Llama-Hermes,PARALLEL,DISRUPT,0.171875
model_interface_comparisons,PLACEBO_MINUS_BASE,48,43,45,0,2,-4.166666666666667,0.5,"[-10.416666666666666,0.0]","[-4.3478260869565215,-2.1739130434782608]",Set 1,Llama-Hermes,SERIAL,CLEAN,1.0
