repository_id,repository_url,commit_sha
coqui-ai/TTS,https://github.com/coqui-ai/TTS.git,dbf1a08a0d4e47fdad6172e433eeb34bc6b13b4e
d2lang/d2,https://github.com/d2lang/d2.git,65a01bdeeb389d9750d39ae3eac6ef948b3112dd
dandavison/delta,https://github.com/dandavison/delta.git,9d730c043d40037fa494da0994a68bd6526fafb9
dani-garcia/vaultwarden,https://github.com/dani-garcia/vaultwarden.git,de7abaaafa5ce6627e43efa52840f6df6f43da23
datalab-to/marker,https://github.com/datalab-to/marker.git,36b3947d05b16787937fc77db47422c9a6bc0e29
dcloudio/uni-app,https://github.com/dcloudio/uni-app.git,edc874ce549f5718f4bbabc4c0d7a44bffa4052f
deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed.git,cbd303eb3f3ec318f259d73d16ddf762b01d1072
denisidoro/navi,https://github.com/denisidoro/navi.git,f7330b9ad5bd95b7d1a3c96d00e0a77deb589147
denysdovhan/wtfjs,https://github.com/denysdovhan/wtfjs.git,2c00c4a5759c3d8a37b1237619ea664c16ce90ee
dimsemenov/PhotoSwipe,https://github.com/dimsemenov/PhotoSwipe.git,cd41cb587a460634e4cae53134f3d01d06e284a6
docling-project/docling,https://github.com/docling-project/docling.git,c35bb0209266315b0b3da4024cab770c2fafbd6a
ehang-io/nps,https://github.com/ehang-io/nps.git,ab648d6f0c618c690a7a79948a7ebd686e1cdafc
evanw/esbuild,https://github.com/evanw/esbuild.git,f6058f8364fe7ab91ca57a83e02577ed74c9cae4
expressjs/express,https://github.com/expressjs/express.git,bed501c695a61886399ee622875f3be933c716d8
fastify/fastify,https://github.com/fastify/fastify.git,d1dd8902ad972703b81a6f0e8395bb10dfd80b5f
firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker.git,a8e1c383054529a1c53ba7a0f498383a04e0c4e2
firecrawl/anydoc,https://github.com/firecrawl/anydoc.git,261fc257d17c3eab0f673be31c408fd9fdc2171a
firecrawl/pdf-inspector,https://github.com/firecrawl/pdf-inspector.git,eb02bf8676674cc1afc20022271ab5d5787d1763
freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2.git,073d105d4dbb3f3afcd2e7cd194cee3a557b0999
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade.git,3d31927c8232830729e37ce9c36f230ab8d9c7c2
fyne-io/fyne,https://github.com/fyne-io/fyne.git,bc1fa2707b96e029589f3bf2f94750d480120a7c
gethomepage/homepage,https://github.com/gethomepage/homepage.git,2cd77eae1fb073e200e35594027d43e7c0e1b1a5
github/spec-kit,https://github.com/github/spec-kit.git,0c8e31ff0a98c362696c2edb6a1bb25a37f68544
gitui-org/gitui,https://github.com/gitui-org/gitui.git,2fa693cb6ed431b21ebc300dd02e83c2476699ce
glzr-io/glazewm,https://github.com/glzr-io/glazewm.git,5709ad0a3c7c386bbc3e38166a865ffc12937515
go-chi/chi,https://github.com/go-chi/chi.git,b1c9ab47626cc46b34393ad4d35779c4363c4e1e
go-delve/delve,https://github.com/go-delve/delve.git,9843a2078bb4403e1d9b2f11c3e58247f203ec63
gogs/gogs,https://github.com/gogs/gogs.git,aec2b842cdb6b601ef2ed27d20fa78a37ca4a0ea
golangci/golangci-lint,https://github.com/golangci/golangci-lint.git,ccf56c68037681a023c1732694f8e271c54a9923
googleworkspace/cli,https://github.com/googleworkspace/cli.git,a3768d0e82ad83cca2da97724e46bea4ff0e6dbd
gradio-app/gradio,https://github.com/gradio-app/gradio.git,265680d889ce9e88b402bd3d644fb28ba8dfaefc
grpc/grpc-go,https://github.com/grpc/grpc-go.git,d2c52f09240164947994c73e544b697a878cee3c
gulpjs/gulp,https://github.com/gulpjs/gulp.git,61f22dc11bb14234b555253095fa1d224ce0eab1
h4ckf0r0day/obscura,https://github.com/h4ckf0r0day/obscura.git,727cc46d56290995245fbe790caed52fc699452a
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate.git,b8071d80d0e90f187adeeccfbda67852097c6c30
hammerjs/hammer.js,https://github.com/hammerjs/hammer.js.git,ff687ea0daa3c806b9accd2ecb1a46165ea3c00a
hankcs/HanLP,https://github.com/hankcs/HanLP.git,ddb1299bddff079e447af52ec12549c50636bfa8
